text	label
Kwaku Ananse, das Spinnenmännchen,	gelassen
Er beschloss deshalb, alle Weisheit der Erde zu sammeln und für sich und seine Nachkommen aufzubewahren.	bereit
Er machte sich auf den Weg, bereiste alle Länder und sammelte jedes kleinste Stückchen Weisheit ein.	vertrauend
Er befragte alle Menschen und Tiere, flüsterte ihr Wissen leise in einen großen Krug und füllte ihn bis zum Rand.	gelassen
Nachdem er wieder in seine Heimat zurückgekehrt war,	gelassen
begann Kwaku Ananse darüber nachzudenken, wo er den Krug mit der Weisheit aufbewahren könnte.	nachdenklich
und dort oben wäre er so versteckt, dass ihn niemand sehen könnte.	froh
Es würde ja auch niemand vermuten, dass die ganze Weisheit der Welt sich auf einem Kazaurabaum in einem Dorf befinden könnte.	nachdenklich
Kwaku Ananse band sich also den Krug vor den Bauch,	gelassen
hing sich eine lange Schlingpflanze über die Schulter und begann, langsam den Baum hinaufzuklettern.	achtsam
Da der Krug sehr groß und sehr schwer war, musste sich Kwaku Ananse ordentlich anstrengen.	besorgt
Vorsichtig setzte er ein Bein vor das andere und kletterte den schwankenden Baum hinauf.	ängstlich
Als er so kletterte, merkte er plötzlich,	erstaunt
dass sich das Band, mit dem er den Krug vor seinem Bauch angebunden hatte, lockerte.	erschrocken
Also hielt er den Krug mit beiden Beinen fest.	verärgert
Nun war das Klettern aber noch schwieriger geworden.	gereizt
So mühte sich Kwaku Ananse drei Tage lang vergeblich, die gesammelte Weisheit in die Äste des alten Kazaurabaumes zu bringen.	betrübt
Trotz seiner Schmerzen und trotz seines großen Hungers, kämpfte er verbissen weiter.	gereizt
Plötzlich blickte er hinunter zum Fuß des Baums und sah dort seinen jüngsten Sohn,	überrascht
der sich vor Lachen den Bauch hielt.	verärgert
Da wurde er zornig und rief hinunter:	verärgert
Sohn, warum lachst du deinen Vater aus, der sich so anstrengt, die ganze Weisheit der Welt in Sicherheit zu bringen?	verärgert
Sage mir, Vater, wenn du die ganze Weisheit der Welt in Sicherheit bringen willst, warum trägst du sie dann vor dem Bauch und nicht auf dem Rücken?	neugierig
Das wäre doch viel einfacher und bequemer!	vertrauend
